Date,Datestamp,Australian Dollar (AUD),Euro (EUR),U.K. Pound (GBP),U.S. Dollar (USD)
24-Mar-2017,2017-03-24,0.7618,1.0805,1.2497,1.0
27-Mar-2017,2017-03-27,0.7633,1.0889,1.25875,1.0
28-Mar-2017,2017-03-28,0.7615,1.0859,1.25555,1.0
29-Mar-2017,2017-03-29,0.7644,1.0748,1.24315,1.0
30-Mar-2017,2017-03-30,0.7663,1.0737,1.24545,1.0
31-Mar-2017,2017-03-31,0.7644,1.0691,1.24525,1.0
3-Apr-2017,2017-04-03,0.7602,1.0661,1.2502,1.0
4-Apr-2017,2017-04-04,0.7576,1.0651,1.2448,1.0
5-Apr-2017,2017-04-05,0.758,1.0678,1.24785,1.0
6-Apr-2017,2017-04-06,0.7542,1.0666,1.2456,1.0
7-Apr-2017,2017-04-07,0.7523,1.063,1.24235,1.0
10-Apr-2017,2017-04-10,0.749,1.0578,1.2406,1.0
11-Apr-2017,2017-04-11,0.7502,1.0616,1.2426,1.0
12-Apr-2017,2017-04-12,0.7499,1.0605,1.2497,1.0
13-Apr-2017,2017-04-13,0.7589,1.063,1.2541,1.0
14-Apr-2017,2017-04-14,0.7589,1.063,1.2541,1.0
17-Apr-2017,2017-04-17,0.7589,1.063,1.2541,1.0
18-Apr-2017,2017-04-18,0.756,1.0682,1.266,1.0
19-Apr-2017,2017-04-19,0.7521,1.0725,1.28395,1.0
20-Apr-2017,2017-04-20,0.7507,1.0745,1.28015,1.0
21-Apr-2017,2017-04-21,0.7535,1.0698,1.2793,1.0
24-Apr-2017,2017-04-24,0.7559,1.0848,1.28185,1.0
25-Apr-2017,2017-04-25,0.7559,1.0891,1.2819,1.0
26-Apr-2017,2017-04-26,0.7516,1.0893,1.28225,1.0
27-Apr-2017,2017-04-27,0.7485,1.0881,1.29,1.0
28-Apr-2017,2017-04-28,0.7475,1.093,1.29415,1.0
1-May-2017,2017-05-01,0.7486,1.093,1.29415,1.0
2-May-2017,2017-05-02,0.7539,1.0915,1.2924,1.0
3-May-2017,2017-05-03,0.75,1.0919,1.2926,1.0
4-May-2017,2017-05-04,0.7408,1.0927,1.2886,1.0
5-May-2017,2017-05-05,0.7376,1.0961,1.2935,1.0
8-May-2017,2017-05-08,0.7415,1.0938,1.296,1.0
9-May-2017,2017-05-09,0.7352,1.0888,1.29255,1.0
10-May-2017,2017-05-10,0.7366,1.0882,1.2947,1.0
11-May-2017,2017-05-11,0.7352,1.0859999999999999,1.28945,1.0
12-May-2017,2017-05-12,0.7385,1.0876,1.2855,1.0
15-May-2017,2017-05-15,0.7399,1.0972,1.2928,1.0
16-May-2017,2017-05-16,0.7423,1.1059,1.2892,1.0
17-May-2017,2017-05-17,0.743,1.1117,1.2972,1.0
18-May-2017,2017-05-18,0.7457,1.1129,1.30345,1.0
19-May-2017,2017-05-19,0.7426,1.1179,1.3005,1.0
22-May-2017,2017-05-22,0.7444,1.1243,1.2998,1.0
23-May-2017,2017-05-23,0.7497,1.1215,1.2967,1.0
24-May-2017,2017-05-24,0.745,1.1193,1.2962,1.0
25-May-2017,2017-05-25,0.751,1.1214,1.296,1.0
26-May-2017,2017-05-26,0.7435,1.1196,1.2854,1.0
30-May-2017,2017-05-30,0.7438,1.1173,1.28655,1.0
31-May-2017,2017-05-31,0.745,1.1221,1.28385,1.0
1-Jun-2017,2017-06-01,0.7403,1.1219,1.28535,1.0
2-Jun-2017,2017-06-02,0.739,1.1217,1.28535,1.0
5-Jun-2017,2017-06-05,0.7464,1.1249,1.29065,1.0
6-Jun-2017,2017-06-06,0.7493,1.1258,1.29065,1.0
7-Jun-2017,2017-06-07,0.754,1.1217,1.29,1.0
8-Jun-2017,2017-06-08,0.755,1.1229,1.29425,1.0
9-Jun-2017,2017-06-09,0.7535,1.1176,1.27535,1.0
12-Jun-2017,2017-06-12,0.7535,1.1221,1.26905,1.0
13-Jun-2017,2017-06-13,0.7556,1.1217,1.27315,1.0
14-Jun-2017,2017-06-14,0.7551,1.1203,1.27275,1.0
15-Jun-2017,2017-06-15,0.7616,1.1166,1.2777,1.0
16-Jun-2017,2017-06-16,0.7593,1.1167,1.2777,1.0
19-Jun-2017,2017-06-19,0.7614,1.1199,1.2802,1.0
20-Jun-2017,2017-06-20,0.7612,1.1156,1.2670000000000001,1.0
21-Jun-2017,2017-06-21,0.7563,1.1147,1.26815,1.0
22-Jun-2017,2017-06-22,0.7558,1.1169,1.26705,1.0
23-Jun-2017,2017-06-23,0.7557,1.1173,1.2738,1.0
26-Jun-2017,2017-06-26,0.7578,1.1187,1.274,1.0
27-Jun-2017,2017-06-27,0.7599,1.1278,1.275,1.0
28-Jun-2017,2017-06-28,0.7611,1.1375,1.28255,1.0
29-Jun-2017,2017-06-29,0.7662,1.1413,1.2966,1.0
30-Jun-2017,2017-06-30,0.7692,1.1412,1.29785,1.0
3-Jul-2017,2017-07-03,0.7692,1.1369,1.2955,1.0
5-Jul-2017,2017-07-05,0.7619,1.1329,1.29085,1.0
6-Jul-2017,2017-07-06,0.7597,1.1385,1.2957,1.0
7-Jul-2017,2017-07-07,0.7585,1.1412,1.2893,1.0
10-Jul-2017,2017-07-10,0.7608,1.1387,1.2876,1.0
11-Jul-2017,2017-07-11,0.7612,1.1405,1.2905,1.0
12-Jul-2017,2017-07-12,0.7653,1.1449,1.2859,1.0
13-Jul-2017,2017-07-13,0.7705,1.1417,1.29235,1.0
14-Jul-2017,2017-07-14,0.7744,1.1415,1.29695,1.0
17-Jul-2017,2017-07-17,0.7812,1.1462,1.3066,1.0
18-Jul-2017,2017-07-18,0.7904,1.1555,1.30245,1.0
19-Jul-2017,2017-07-19,0.7935,1.1533,1.3051,1.0
20-Jul-2017,2017-07-20,0.7924,1.1485,1.29405,1.0
21-Jul-2017,2017-07-21,0.7911,1.1642,1.3004,1.0
24-Jul-2017,2017-07-24,0.7929,1.1648,1.3033,1.0
25-Jul-2017,2017-07-25,0.794,1.1694,1.3032,1.0
26-Jul-2017,2017-07-26,0.789,1.1644,1.3054,1.0
27-Jul-2017,2017-07-27,0.8046,1.1694,1.31475,1.0
28-Jul-2017,2017-07-28,0.797,1.1729,1.3086,1.0
31-Jul-2017,2017-07-31,0.7987,1.1727,1.3124,1.0
1-Aug-2017,2017-08-01,0.8011,1.1812,1.32125,1.0
2-Aug-2017,2017-08-02,0.7962,1.1829,1.3230000000000002,1.0
3-Aug-2017,2017-08-03,0.7923,1.186,1.31875,1.0
4-Aug-2017,2017-08-04,0.7977,1.1868,1.3141,1.0
7-Aug-2017,2017-08-07,0.7977,1.1797,1.30535,1.0
8-Aug-2017,2017-08-08,0.7923,1.1814,1.3033,1.0
9-Aug-2017,2017-08-09,0.7884,1.1731,1.30025,1.0
10-Aug-2017,2017-08-10,0.7873,1.1732,1.30015,1.0
11-Aug-2017,2017-08-11,0.7859,1.1765,1.2965,1.0
14-Aug-2017,2017-08-14,0.7892,1.1797,1.29685,1.0
15-Aug-2017,2017-08-15,0.7852,1.1744,1.2876,1.0
16-Aug-2017,2017-08-16,0.7842,1.171,1.2871,1.0
17-Aug-2017,2017-08-17,0.7938,1.1697,1.2864,1.0
18-Aug-2017,2017-08-18,0.7896,1.1740000000000002,1.28915,1.0
21-Aug-2017,2017-08-21,0.7921,1.1761,1.28955,1.0
22-Aug-2017,2017-08-22,0.794,1.1771,1.2821,1.0
23-Aug-2017,2017-08-23,0.7894,1.1799,1.2808,1.0
24-Aug-2017,2017-08-24,0.7896,1.1806,1.28215,1.0
25-Aug-2017,2017-08-25,0.7905,1.1808,1.28365,1.0
28-Aug-2017,2017-08-28,0.7943,1.1925,1.29,1.0
29-Aug-2017,2017-08-29,0.7926,1.2048,1.2949,1.0
30-Aug-2017,2017-08-30,0.7981,1.1916,1.2925,1.0
31-Aug-2017,2017-08-31,0.7898,1.1825,1.2876,1.0
1-Sep-2017,2017-09-01,0.7934,1.192,1.2933,1.0
5-Sep-2017,2017-09-05,0.7961,1.189,1.296,1.0
6-Sep-2017,2017-09-06,0.7993,1.1931,1.3047,1.0
7-Sep-2017,2017-09-07,0.7991,1.1971,1.3090000000000002,1.0
8-Sep-2017,2017-09-08,0.8121,1.206,1.31945,1.0
11-Sep-2017,2017-09-11,0.8055,1.1997,1.3215,1.0
12-Sep-2017,2017-09-12,0.8023,1.1933,1.3277,1.0
13-Sep-2017,2017-09-13,0.8027,1.1979,1.32645,1.0
14-Sep-2017,2017-09-14,0.8,1.1885,1.3243,1.0
15-Sep-2017,2017-09-15,0.8001,1.1963,1.35825,1.0
18-Sep-2017,2017-09-18,0.8028,1.1948,1.35435,1.0
19-Sep-2017,2017-09-19,0.7976,1.1972,1.34995,1.0
20-Sep-2017,2017-09-20,0.8029,1.2007,1.3533,1.0
21-Sep-2017,2017-09-21,0.7964,1.1905,1.348,1.0
22-Sep-2017,2017-09-22,0.7933,1.1961,1.3557,1.0
25-Sep-2017,2017-09-25,0.7966,1.1867,1.3479,1.0
26-Sep-2017,2017-09-26,0.7938,1.1787,1.3432,1.0
27-Sep-2017,2017-09-27,0.7858,1.1741,1.3426,1.0
28-Sep-2017,2017-09-28,0.7813,1.1778,1.3419999999999999,1.0
29-Sep-2017,2017-09-29,0.7839,1.1806,1.3384,1.0
2-Oct-2017,2017-10-02,0.7839,1.1744,1.33105,1.0
3-Oct-2017,2017-10-03,0.7801,1.1753,1.3259,1.0
4-Oct-2017,2017-10-04,0.7859,1.1787,1.3282,1.0
5-Oct-2017,2017-10-05,0.7832,1.1742,1.3182,1.0
6-Oct-2017,2017-10-06,0.7755,1.1707,1.3064,1.0
10-Oct-2017,2017-10-10,0.7785,1.1797,1.3189,1.0
11-Oct-2017,2017-10-11,0.7782,1.183,1.3195,1.0
12-Oct-2017,2017-10-12,0.7817,1.1856,1.3167,1.0
13-Oct-2017,2017-10-13,0.7832,1.181,1.329,1.0
16-Oct-2017,2017-10-16,0.7872,1.1803,1.33015,1.0
17-Oct-2017,2017-10-17,0.7846,1.1759,1.3204,1.0
18-Oct-2017,2017-10-18,0.7848,1.1749,1.31795,1.0
19-Oct-2017,2017-10-19,0.7852,1.1834,1.3167,1.0
20-Oct-2017,2017-10-20,0.7845,1.1818,1.3178,1.0
23-Oct-2017,2017-10-23,0.7826,1.1740000000000002,1.3173,1.0
24-Oct-2017,2017-10-24,0.7819,1.1761,1.3179,1.0
25-Oct-2017,2017-10-25,0.772,1.1785,1.3244,1.0
26-Oct-2017,2017-10-26,0.7706,1.1753,1.3219,1.0
27-Oct-2017,2017-10-27,0.7642,1.1605,1.31025,1.0
30-Oct-2017,2017-10-30,0.7677,1.1612,1.319,1.0
31-Oct-2017,2017-10-31,0.7673,1.1638,1.3219,1.0
1-Nov-2017,2017-11-01,0.7659,1.1612,1.3297,1.0
2-Nov-2017,2017-11-02,0.7715,1.1645,1.3137,1.0
3-Nov-2017,2017-11-03,0.769,1.1657,1.30915,1.0
6-Nov-2017,2017-11-06,0.7655,1.159,1.3112,1.0
7-Nov-2017,2017-11-07,0.768,1.1562,1.31335,1.0
8-Nov-2017,2017-11-08,0.7653,1.159,1.3118,1.0
9-Nov-2017,2017-11-09,0.7683,1.163,1.3121,1.0
10-Nov-2017,2017-11-10,0.7682,1.1654,1.3159999999999998,1.0
13-Nov-2017,2017-11-13,0.7658,1.1656,1.3092,1.0
14-Nov-2017,2017-11-14,0.7632,1.1745,1.3111,1.0
15-Nov-2017,2017-11-15,0.7583,1.1840000000000002,1.3169,1.0
16-Nov-2017,2017-11-16,0.7594,1.1771,1.319,1.0
17-Nov-2017,2017-11-17,0.7574,1.1795,1.3198,1.0
20-Nov-2017,2017-11-20,0.7556,1.1781,1.3245,1.0
21-Nov-2017,2017-11-21,0.7537,1.1718,1.32315,1.0
22-Nov-2017,2017-11-22,0.7568,1.1749,1.32495,1.0
27-Nov-2017,2017-11-27,0.7603,1.1952,1.33495,1.0
28-Nov-2017,2017-11-28,0.7611,1.1888,1.3297,1.0
29-Nov-2017,2017-11-29,0.7586,1.1827,1.34035,1.0
30-Nov-2017,2017-11-30,0.7585,1.1849,1.34445,1.0
1-Dec-2017,2017-12-01,0.7564,1.1885,1.35025,1.0
4-Dec-2017,2017-12-04,0.7598,1.1865,1.3505,1.0
5-Dec-2017,2017-12-05,0.7651,1.1847,1.3412,1.0
6-Dec-2017,2017-12-06,0.7578,1.1817,1.33625,1.0
7-Dec-2017,2017-12-07,0.7545,1.1786,1.3331,1.0
8-Dec-2017,2017-12-08,0.7512,1.1742,1.3455,1.0
11-Dec-2017,2017-12-11,0.7525,1.1796,1.3374,1.0
12-Dec-2017,2017-12-12,0.7533,1.1766,1.3349,1.0
13-Dec-2017,2017-12-13,0.757,1.1736,1.3353,1.0
14-Dec-2017,2017-12-14,0.7666,1.1845,1.34345,1.0
15-Dec-2017,2017-12-15,0.7675,1.1806,1.3395,1.0
18-Dec-2017,2017-12-18,0.7658,1.1795,1.33665,1.0
19-Dec-2017,2017-12-19,0.7669,1.1823,1.3374,1.0
20-Dec-2017,2017-12-20,0.7658,1.1845,1.3393,1.0
21-Dec-2017,2017-12-21,0.7666,1.1859,1.33665,1.0
22-Dec-2017,2017-12-22,0.7714,1.1853,1.33855,1.0
26-Dec-2017,2017-12-26,0.7714,1.1853,1.3368,1.0
27-Dec-2017,2017-12-27,0.7745,1.1895,1.3414,1.0
28-Dec-2017,2017-12-28,0.7791,1.1934,1.3434,1.0
29-Dec-2017,2017-12-29,0.78,1.1993,1.35115,1.0
2-Jan-2018,2018-01-02,0.7837,1.2065,1.3551,1.0
3-Jan-2018,2018-01-03,0.7816,1.2023,1.35615,1.0
4-Jan-2018,2018-01-04,0.7835,1.2065,1.35545,1.0
5-Jan-2018,2018-01-05,0.7857,1.2045,1.35475,1.0
8-Jan-2018,2018-01-08,0.7842,1.1973,1.3541,1.0
9-Jan-2018,2018-01-09,0.7854,1.1932,1.354,1.0
10-Jan-2018,2018-01-10,0.7828,1.1992,1.35535,1.0
11-Jan-2018,2018-01-11,0.7873,1.2017,1.3462,1.0
12-Jan-2018,2018-01-12,0.7885,1.2137,1.3639,1.0
16-Jan-2018,2018-01-16,0.7968,1.2229999999999999,1.3747,1.0
17-Jan-2018,2018-01-17,0.7955,1.2203,1.3788,1.0
18-Jan-2018,2018-01-18,0.7964,1.2235,1.3886,1.0
19-Jan-2018,2018-01-19,0.8019,1.2255,1.38855,1.0
22-Jan-2018,2018-01-22,0.799,1.2239,1.39005,1.0
23-Jan-2018,2018-01-23,0.7989,1.2249,1.39345,1.0
24-Jan-2018,2018-01-24,0.8016,1.2352,1.4136,1.0
25-Jan-2018,2018-01-25,0.8094,1.2407,1.4258,1.0
26-Jan-2018,2018-01-26,0.8094,1.2436,1.4247,1.0
29-Jan-2018,2018-01-29,0.8096,1.2379,1.4063,1.0
30-Jan-2018,2018-01-30,0.807,1.2421,1.4124,1.0
31-Jan-2018,2018-01-31,0.8073,1.2457,1.4161,1.0
1-Feb-2018,2018-02-01,0.8044,1.2459,1.4219,1.0
2-Feb-2018,2018-02-02,0.7997,1.2492,1.4223,1.0
5-Feb-2018,2018-02-05,0.7929,1.244,1.4048,1.0
6-Feb-2018,2018-02-06,0.7844,1.2329,1.39315,1.0
7-Feb-2018,2018-02-07,0.7883,1.2338,1.38885,1.0
8-Feb-2018,2018-02-08,0.7812,1.2252,1.39705,1.0
9-Feb-2018,2018-02-09,0.7779,1.2273,1.38265,1.0
12-Feb-2018,2018-02-12,0.7834,1.2263,1.38515,1.0
13-Feb-2018,2018-02-13,0.787,1.2333,1.3902,1.0
14-Feb-2018,2018-02-14,0.7877,1.2348,1.3851,1.0
15-Feb-2018,2018-02-15,0.7933,1.2493,1.40465,1.0
16-Feb-2018,2018-02-16,0.7965,1.2464,1.4063,1.0
20-Feb-2018,2018-02-20,0.7926,1.234,1.39865,1.0
21-Feb-2018,2018-02-21,0.7852,1.2312,1.3923,1.0
22-Feb-2018,2018-02-22,0.7806,1.2276,1.38795,1.0
23-Feb-2018,2018-02-23,0.7821,1.2299,1.39785,1.0
26-Feb-2018,2018-02-26,0.7863,1.232,1.4047,1.0
27-Feb-2018,2018-02-27,0.7847,1.2301,1.3947,1.0
28-Feb-2018,2018-02-28,0.7792,1.2214,1.3842,1.0
1-Mar-2018,2018-03-01,0.7731,1.2171,1.3745,1.0
2-Mar-2018,2018-03-02,0.7756,1.2312,1.37905,1.0
5-Mar-2018,2018-03-05,0.7752,1.2307,1.3813,1.0
6-Mar-2018,2018-03-06,0.7773,1.2411,1.38985,1.0
7-Mar-2018,2018-03-07,0.7804,1.2417,1.38555,1.0
8-Mar-2018,2018-03-08,0.783,1.2421,1.3861,1.0
9-Mar-2018,2018-03-09,0.7792,1.2291,1.38255,1.0
12-Mar-2018,2018-03-12,0.7869,1.2302,1.3854,1.0
13-Mar-2018,2018-03-13,0.787,1.2378,1.3894,1.0
14-Mar-2018,2018-03-14,0.7871,1.2369,1.3976,1.0
15-Mar-2018,2018-03-15,0.7876,1.2341,1.3929,1.0
16-Mar-2018,2018-03-16,0.779,1.2301,1.39675,1.0
19-Mar-2018,2018-03-19,0.7691,1.2309,1.4046,1.0
20-Mar-2018,2018-03-20,0.7703,1.2276,1.4008,1.0
21-Mar-2018,2018-03-21,0.7703,1.2286,1.40495,1.0
22-Mar-2018,2018-03-22,0.7744,1.2316,1.4192,1.0
23-Mar-2018,2018-03-23,0.7711,1.2346,1.412,1.0
26-Mar-2018,2018-03-26,0.7723,1.2411,1.42265,1.0
27-Mar-2018,2018-03-27,0.7738,1.2376,1.4111,1.0
28-Mar-2018,2018-03-28,0.7694,1.2398,1.4143,1.0
29-Mar-2018,2018-03-29,0.7665,1.2321,1.40615,1.0
30-Mar-2018,2018-03-30,0.7665,1.2321,1.40615,1.0
2-Apr-2018,2018-04-02,0.7665,1.2321,1.406,1.0
3-Apr-2018,2018-04-03,0.7685,1.2308,1.40265,1.0
4-Apr-2018,2018-04-04,0.77,1.2276,1.40385,1.0
5-Apr-2018,2018-04-05,0.769,1.226,1.40635,1.0
6-Apr-2018,2018-04-06,0.7677,1.2234,1.4015,1.0
9-Apr-2018,2018-04-09,0.7691,1.2304,1.41035,1.0
10-Apr-2018,2018-04-10,0.7733,1.2361,1.4159,1.0
11-Apr-2018,2018-04-11,0.7749,1.2384,1.4193,1.0
12-Apr-2018,2018-04-12,0.7751,1.2323,1.41865,1.0
13-Apr-2018,2018-04-13,0.778,1.2317,1.4279,1.0
16-Apr-2018,2018-04-16,0.7769,1.237,1.42995,1.0
17-Apr-2018,2018-04-17,0.7771,1.2357,1.4334,1.0
18-Apr-2018,2018-04-18,0.7771,1.2388,1.42075,1.0
19-Apr-2018,2018-04-19,0.7804,1.2382,1.4218,1.0
20-Apr-2018,2018-04-20,0.7714,1.2309,1.4074,1.0
23-Apr-2018,2018-04-23,0.7673,1.2238,1.3953,1.0
24-Apr-2018,2018-04-24,0.7608,1.2213,1.3941,1.0
25-Apr-2018,2018-04-25,0.7608,1.2185,1.39525,1.0
26-Apr-2018,2018-04-26,0.7574,1.2168,1.39655,1.0
27-Apr-2018,2018-04-27,0.7545,1.207,1.37685,1.0
30-Apr-2018,2018-04-30,0.757,1.2079,1.3725,1.0
1-May-2018,2018-05-01,0.754,1.2079,1.36945,1.0
2-May-2018,2018-05-02,0.7503,1.2007,1.36535,1.0
3-May-2018,2018-05-03,0.7524,1.1992,1.3585,1.0
4-May-2018,2018-05-04,0.7538,1.1969,1.35685,1.0
7-May-2018,2018-05-07,0.752,1.1902,1.35315,1.0
8-May-2018,2018-05-08,0.7514,1.187,1.35145,1.0
9-May-2018,2018-05-09,0.7435,1.1879,1.35645,1.0
10-May-2018,2018-05-10,0.7458,1.1878,1.3566,1.0
11-May-2018,2018-05-11,0.7534,1.1934,1.3575,1.0
14-May-2018,2018-05-14,0.7549,1.1988,1.3592,1.0
15-May-2018,2018-05-15,0.7508,1.1883,1.3539,1.0
16-May-2018,2018-05-16,0.7484,1.1784,1.3473,1.0
17-May-2018,2018-05-17,0.754,1.1805,1.3493,1.0
18-May-2018,2018-05-18,0.7519,1.1781,1.3482,1.0
21-May-2018,2018-05-21,0.7519,1.1759,1.3401,1.0
22-May-2018,2018-05-22,0.7588,1.1794,1.3457,1.0
23-May-2018,2018-05-23,0.7541,1.1708,1.3351,1.0
24-May-2018,2018-05-24,0.7562,1.1728,1.3404,1.0
25-May-2018,2018-05-25,0.7565,1.1675,1.3341,1.0
29-May-2018,2018-05-29,0.7535,1.1558,1.3249,1.0
30-May-2018,2018-05-30,0.7501,1.1632,1.3276,1.0
31-May-2018,2018-05-31,0.7564,1.1699,1.3326,1.0
1-Jun-2018,2018-06-01,0.7541,1.1669,1.3324,1.0
4-Jun-2018,2018-06-04,0.7615,1.1737,1.3386,1.0
5-Jun-2018,2018-06-05,0.7633,1.1675,1.3359999999999999,1.0
6-Jun-2018,2018-06-06,0.7664,1.1765,1.34175,1.0
7-Jun-2018,2018-06-07,0.7659,1.1836,1.34535,1.0
8-Jun-2018,2018-06-08,0.7609,1.1754,1.3389,1.0
11-Jun-2018,2018-06-11,0.7609,1.179,1.33525,1.0
12-Jun-2018,2018-06-12,0.7615,1.1788,1.3391,1.0
13-Jun-2018,2018-06-13,0.7574,1.1764,1.3329,1.0
14-Jun-2018,2018-06-14,0.7555,1.173,1.3432,1.0
15-Jun-2018,2018-06-15,0.7465,1.1596,1.3291,1.0
18-Jun-2018,2018-06-18,0.745,1.1613,1.3252,1.0
19-Jun-2018,2018-06-19,0.738,1.1534,1.3171,1.0
20-Jun-2018,2018-06-20,0.7402,1.1578,1.3158,1.0
21-Jun-2018,2018-06-21,0.736,1.1538,1.3182,1.0
22-Jun-2018,2018-06-22,0.7398,1.1648,1.32965,1.0
25-Jun-2018,2018-06-25,0.7419,1.17,1.3255,1.0
26-Jun-2018,2018-06-26,0.7416,1.1672,1.3241,1.0
27-Jun-2018,2018-06-27,0.738,1.1616,1.3208,1.0
28-Jun-2018,2018-06-28,0.7353,1.1583,1.3098,1.0
29-Jun-2018,2018-06-29,0.7391,1.1658,1.31395,1.0
2-Jul-2018,2018-07-02,0.7382,1.1639,1.3164,1.0
3-Jul-2018,2018-07-03,0.736,1.1665,1.3187,1.0
5-Jul-2018,2018-07-05,0.7378,1.1709,1.32445,1.0
6-Jul-2018,2018-07-06,0.7408,1.1724,1.32355,1.0
9-Jul-2018,2018-07-09,0.7467,1.1789,1.3333,1.0
